"","subject","prefix","browser","e","cu","me","lt"
"1","http-192-168-88-177-8000-commerce-bestbuy-www-bestbuy-com",0,"chrome",0.009053968,18.20936376,2049130.858,547
"2","http-192-168-88-177-8000-commerce-bestbuy-www-bestbuy-com",0,"firefox",0.023196512,18.1373714,2049289.687,675
"3","http-192-168-88-177-8000-commerce-bestbuy-www-bestbuy-com",0,"opera",0.012998098,18.04369989,2051211.99,904
"4","http-192-168-88-177-8000-commerce-jimdo-www-jimdo-com",0,"chrome",0.005155171,17.96748008,2050672.618,270
"5","http-192-168-88-177-8000-commerce-jimdo-www-jimdo-com",0,"firefox",0.006729598,17.89420319,2050100.08,543
"6","http-192-168-88-177-8000-commerce-jimdo-www-jimdo-com",0,"opera",0.008905119,17.77531449,2051912.282,502
"7","http-192-168-88-177-8000-commerce-shopify-www-shopify-com-ppc-ecommerce-html",0,"chrome",0.003960843,17.7069035,2051527.206,174
"8","http-192-168-88-177-8000-commerce-shopify-www-shopify-com-ppc-ecommerce-html",0,"firefox",0.004105398,17.66731551,2051338.741,376
"9","http-192-168-88-177-8000-commerce-shopify-www-shopify-com-ppc-ecommerce-html",0,"opera",0.004241899,17.59292843,2053263.782,1145
"10","http-192-168-88-177-8000-commerce-target-www-target-com",0,"chrome",0.01672434,17.57572446,2053835.434,189
"11","http-192-168-88-177-8000-commerce-target-www-target-com",0,"firefox",0.009982134,17.62668259,2054641.293,988
"12","http-192-168-88-177-8000-commerce-target-www-target-com",0,"opera",0.004346844,17.63168618,2056799.293,2094
"13","http-192-168-88-177-8000-commerce-woocommerce-woocommerce-com",0,"chrome",0.008916599,17.69418421,2056698.056,385
"14","http-192-168-88-177-8000-commerce-woocommerce-woocommerce-com",0,"firefox",0.008447027,17.71572955,2056724.354,1900
"15","http-192-168-88-177-8000-commerce-woocommerce-woocommerce-com",0,"opera",0.006805641,17.68765231,2057918.157,638
"16","http-192-168-88-177-8000-consumer-evri-www-evri-com",0,"chrome",0.004241235,18.55049583,2035435.71,1815
"17","http-192-168-88-177-8000-consumer-evri-www-evri-com",0,"firefox",0.004430176,18.42474129,2035635.132,2250
"18","http-192-168-88-177-8000-consumer-evri-www-evri-com",0,"opera",0.006506939,18.29314282,2038167.753,3091
"19","http-192-168-88-177-8000-consumer-foursquare-foursquare-com",0,"chrome",0.015449208,18.19502868,2038010.104,403
"20","http-192-168-88-177-8000-consumer-foursquare-foursquare-com",0,"firefox",0.008199446,18.16054074,2039414.697,568
"21","http-192-168-88-177-8000-consumer-foursquare-foursquare-com",0,"opera",0.006458381,18.10768695,2043603.86,870
"22","http-192-168-88-177-8000-consumer-narvar-corp-narvar-com",0,"chrome",0.004983247,18.15476704,2044340.825,325
"23","http-192-168-88-177-8000-consumer-narvar-corp-narvar-com",0,"firefox",0.008251529,18.11410784,2045540.182,1551
"24","http-192-168-88-177-8000-consumer-narvar-corp-narvar-com",0,"opera",0.010399607,18.12132753,2048389.131,2167
"25","http-192-168-88-177-8000-consumer-rightmove-www-rightmove-co-uk",0,"chrome",0.009257728,18.19237137,2047981.382,538
"26","http-192-168-88-177-8000-consumer-rightmove-www-rightmove-co-uk",0,"firefox",0.013010457,18.19312233,2047816.282,255
"27","http-192-168-88-177-8000-consumer-rightmove-www-rightmove-co-uk",0,"opera",0.004409593,18.13848173,2049420.37,615
"28","http-192-168-88-177-8000-consumer-trulia-www-trulia-com",0,"chrome",0.006048971,18.16049647,2048453.386,673
"29","http-192-168-88-177-8000-consumer-trulia-www-trulia-com",0,"firefox",0.005621235,18.20242217,2048248.028,387
"30","http-192-168-88-177-8000-consumer-trulia-www-trulia-com",0,"opera",0.014613016,18.17656183,2050215.996,570
"31","http-192-168-88-177-8000-finance-bloomberg-www-bloomberg-com-subscriptions-ytaodl37xpb73lm-html",0,"chrome",0.007795202,19.3858824,2029847.848,396
"32","http-192-168-88-177-8000-finance-bloomberg-www-bloomberg-com-subscriptions-ytaodl37xpb73lm-html",0,"firefox",0.003831735,19.22007312,2025870.58,138
"33","http-192-168-88-177-8000-finance-bloomberg-www-bloomberg-com-subscriptions-ytaodl37xpb73lm-html",0,"opera",0.0074407,18.9104744,2027071.275,816
"34","http-192-168-88-177-8000-finance-coinmarketcap-coinmarketcap-com",0,"chrome",0.016790808,18.88684324,2023482.036,223
"35","http-192-168-88-177-8000-finance-coinmarketcap-coinmarketcap-com",0,"firefox",0.011146362,19.05566319,2020140.001,87
"36","http-192-168-88-177-8000-finance-coinmarketcap-coinmarketcap-com",0,"opera",0.007951174,18.98002729,2021986.478,577
"37","http-192-168-88-177-8000-finance-forbes-www-forbes-com",0,"chrome",0.005421876,19.00361177,2019631.25,928
"38","http-192-168-88-177-8000-finance-forbes-www-forbes-com",0,"firefox",0.007030083,19.40402808,2018899.526,257
"39","http-192-168-88-177-8000-finance-forbes-www-forbes-com",0,"opera",0.011244041,19.31020268,2023815.913,1206
"40","http-192-168-88-177-8000-finance-paypal-www-paypal-com-ro-home-html",0,"chrome",0.013349472,19.09812826,2022595.615,432
"41","http-192-168-88-177-8000-finance-paypal-www-paypal-com-ro-home-html",0,"firefox",0.017312516,18.96109135,2021525.559,1004
"42","http-192-168-88-177-8000-finance-paypal-www-paypal-com-ro-home-html",0,"opera",0.011847616,18.79180909,2027081.25,1207
"43","http-192-168-88-177-8000-finance-tinkoff-www-tinkoff-ru",0,"chrome",0.010273136,18.78605802,2027976.866,2626
"44","http-192-168-88-177-8000-finance-tinkoff-www-tinkoff-ru",0,"firefox",0.006208029,18.74514062,2029884.003,243
"45","http-192-168-88-177-8000-finance-tinkoff-www-tinkoff-ru",0,"opera",0.008171426,18.64925861,2034883.116,410
"46","http-192-168-88-177-8000-general-baidu-www-baidu-com-index-html",0,"chrome",0.008019985,33.66666667,2012220.875,775
"47","http-192-168-88-177-8000-general-baidu-www-baidu-com-index-html",0,"firefox",0.007212229,24.14474359,1981999.535,253
"48","http-192-168-88-177-8000-general-baidu-www-baidu-com-index-html",0,"opera",0.007450714,23.08854545,2073466.797,1040
"49","http-192-168-88-177-8000-general-blogger-www-blogger-com-about",0,"chrome",0.00673535,24.7740867,2061098.473,423
"50","http-192-168-88-177-8000-general-blogger-www-blogger-com-about",0,"firefox",0.004328064,24.19203642,2054205.101,393
"51","http-192-168-88-177-8000-general-blogger-www-blogger-com-about",0,"opera",0.006670723,23.29195104,2050467.291,606
"52","http-192-168-88-177-8000-general-espn-www-espn-com-index-html",0,"chrome",0.010337873,23.35065476,2085167.854,950
"53","http-192-168-88-177-8000-general-espn-www-espn-com-index-html",0,"firefox",0.010926661,24.43655522,2076740.757,592
"54","http-192-168-88-177-8000-general-espn-www-espn-com-index-html",0,"opera",0.006038713,24.83029762,2072720.035,401
"55","http-192-168-88-177-8000-general-netvibes-www-netvibes-com-en-html",0,"chrome",0.006718519,22.62431355,2041141.237,987
"56","http-192-168-88-177-8000-general-netvibes-www-netvibes-com-en-html",0,"firefox",0.004990097,21.95755681,2041870.677,1002
"57","http-192-168-88-177-8000-general-netvibes-www-netvibes-com-en-html",0,"opera",0.00574263,21.08834115,2050399.136,141
"58","http-192-168-88-177-8000-general-wikipedia-www-wikipedia-org-index-html",0,"chrome",0.010685633,20.51925038,2043877.267,1182
