--------- beginning of main
09-02 17:27:17.722 14031 14031 E adbd    : recv: OPEN 0002479e 00000000 0086:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 63 6F 6D 2E 6F 70 65 72 61 2E 62 72 6F 77 73 65 72 2F 63 6F 6D 2E 6F 70 65 72 61 2E 4F 70 65 72 61 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 17:27:17.722 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n com.opera.browser/com.opera.Opera --activity-clear-task
09-02 17:27:17.751  7881  6453 D omnistore_android_logger: DebouncingRateLimiter attempting event SyncProtocol::onConnectionEstablished
09-02 17:27:17.751  7881  6453 D omnistore_android_logger: AlarmManager::startAlarmTimer for key=SyncProtocol::onConnectionEstablished, it will NOT wake up main thread to reschedule
09-02 17:27:17.751  7881  6453 W omnistore_android_logger: Event SyncProtocol::onConnectionEstablished rate limited for 24062 ms
09-02 17:27:17.751  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 17:27:17.753  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 17:27:17.793  7881  4231 E fb4a.msys: E[N MQTT]readEOF(124)=>TCPStreamTransport readEOF
09-02 17:27:17.794  7881  4231 E fb4a.msys: E[N MQTT]onEOF(699)=>LigerBasedStreamTransport onEOF
09-02 17:27:17.799  7881  6374 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 3363, error = 2003
09-02 17:27:17.803  7881  6374 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 3362, error = 2003
09-02 17:27:17.808  7881  6374 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 3361, error = 2003
09-02 17:27:17.809  7881  6374 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 3360, error = 2003
--------- beginning of system
09-02 17:27:17.810  3979  4672 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 17:27:17.813  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 17:27:17.816  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 17:27:17.819  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:e2ddb33c-c4b6-463f-97b1-aab620fe0e09, category:mcd-sync-data-task-category, requestId:32843, error:Error Domain=mqtt Code=2003 UserInfo=0xc81ec500 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 17:27:17.820  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response e2ddb33c-c4b6-463f-97b1-aab620fe0e09 contains sync error Error Domain=mqtt Code=2003 UserInfo=0xc81ec500 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xc81ec500 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 17:27:17.820  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:477bef1a-768d-45e8-bbd1-02981736baf3, category:mcd-sync-data-task-category, requestId:26776, error:Error Domain=mqtt Code=2003 UserInfo=0xbd877b00 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 17:27:17.824  3979  4672 I ActivityManager: Force stopping com.opera.browser appid=10158 user=0: from pid 6531
09-02 17:27:17.830  3979  3979 D SamsungAlarmManager: Remove alarm for next reason : android.intent.action.PACKAGE_RESTARTED : package: com.opera.browser
09-02 17:27:17.831  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 477bef1a-768d-45e8-bbd1-02981736baf3 contains sync error Error Domain=mqtt Code=2003 UserInfo=0xbd877b00 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xbd877b00 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 17:27:17.832  7881  6453 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 17:27:17.833  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task fccf4499-366e-4e6d-b9c0-ed66aaed8c02 (response type 1): (null)
09-02 17:27:17.833  7881  6453 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 17:27:17.833  7881  6453 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 17:27:17.834  7881  6453 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 17:27:17.834  7881  6453 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 17:27:17.834  7881  6453 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 17:27:17.834  7881  6453 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 17:27:17.834  7881  6453 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 17:27:17.834  7881  6453 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 17:27:17.836  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:com.opera.browser flg=0x10 (has extras) } to android/com.kddi.android.CpaNotiReceiver
09-02 17:27:17.837  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:com.opera.browser flg=0x10 (has extras) } to com.sec.android.daemonapp/com.samsung.android.weather.daemon.receiver.ClearDataReceiver
09-02 17:27:17.838  4633  4633 D CarrierSvcBindHelper: No carrier app for: 0
09-02 17:27:17.839  4633  4633 D CarrierSvcBindHelper: No carrier app for: 1
09-02 17:27:17.844  7881  6454 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 17:27:17.844  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response fccf4499-366e-4e6d-b9c0-ed66aaed8c02 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xbad48700 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xbad48700 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 17:27:17.844  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 7a40f9f1-a78e-4476-8d10-f89e43b56c85 (response type 1): (null)
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 17:27:17.845  7881  6454 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 17:27:17.851  6480  6533 D ProfileInstaller: Installing profile for com.example.batterymanager_utility
09-02 17:27:17.855  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 7a40f9f1-a78e-4476-8d10-f89e43b56c85 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7b4c400 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7b4c400 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 17:27:17.905  7881  6454 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 17:27:17.905  7881  6454 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 17:27:17.905  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 9df48218-7ef7-4ae9-a108-0e42d47bfe40 (response type 1): (null)
09-02 17:27:17.905  7881  6454 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 17:27:17.905  7881  6454 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 17:27:17.906  7881  6454 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 17:27:17.906  7881  6454 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 17:27:17.906  7881  6454 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 17:27:17.906  7881  6454 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 17:27:17.906  7881  6454 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 17:27:17.907  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 9df48218-7ef7-4ae9-a108-0e42d47bfe40 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2100 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc91e2100 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 17:27:17.910  7881  6454 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 17:27:17.910  7881  6454 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 17:27:17.910  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 5b13fb45-23a7-4970-ae9a-95b3fc5c523f (response type 1): (null)
09-02 17:27:17.910  7881  6454 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 17:27:17.911  7881  6454 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 17:27:17.911  7881  6454 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
