--------- beginning of main
09-02 09:01:10.951 14031 14031 E adbd    : recv: OPEN 00018ab3 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 09:01:10.951 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
09-02 09:01:10.987  3979  4051 D SensorService: [SO] 0.139 -0.421 9.869
--------- beginning of system
09-02 09:01:11.016  3979  4672 I ActivityManager: Force stopping org.mozilla.firefox appid=10154 user=0: from pid 2031
09-02 09:01:11.021  3979  3979 D SamsungAlarmManager: Remove alarm for next reason : android.intent.action.PACKAGE_RESTARTED : package: org.mozilla.firefox
09-02 09:01:11.026  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:org.mozilla.firefox flg=0x10 (has extras) } to android/com.kddi.android.CpaNotiReceiver
09-02 09:01:11.027  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:org.mozilla.firefox flg=0x10 (has extras) } to com.sec.android.daemonapp/com.samsung.android.weather.daemon.receiver.ClearDataReceiver
09-02 09:01:11.028  4633  4633 D CarrierSvcBindHelper: No carrier app for: 0
09-02 09:01:11.029  4633  4633 D CarrierSvcBindHelper: No carrier app for: 1
09-02 09:01:11.280  3979  4672 I ActivityManager: START u0 {act=android.intent.action.VIEW typ=null flg=0x10008000 cmp=ComponentInfo{org.mozilla.firefox/org.mozilla.gecko.BrowserApp}} from uid 2000
09-02 09:01:11.297  3979  4672 D CustomFrequencyManagerService: acquireDVFSLockLocked : type : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  pkgName : AMS_APP_SWITCH@CPU_MIN@23
09-02 09:01:11.299  3979  4672 D ActivityManagerPerformance: AMP_acquire() APP_SWITCH
09-02 09:01:11.299  3979  5035 D ActivityManagerPerformance: Received MSG_CFMS_HINT_AMS_SWITCH pkgName: org.mozilla.firefox
09-02 09:01:11.308  3979  4672 D ActivityManager: isScaleDownAnimationEnabled() : false
09-02 09:01:11.309  3979  4672 D StorageManagerService: getExternalStorageMountMode : 1
09-02 09:01:11.309  3979  4672 D StorageManagerService: getExternalStorageMountMode : 3
09-02 09:01:11.309  3979  4672 D StorageManagerService: getExternalStorageMountMode : final mountMode=1, uid : 10154, packageName : org.mozilla.firefox
09-02 09:01:11.309  3979  4672 I ApplicationPolicy: isApplicationExternalStorageWhitelisted:org.mozilla.firefox user:0
09-02 09:01:11.309  3979  4672 D ApplicationPolicy: isApplicationExternalStorageWhitelisted: DO is not enabled on user 0. Allowed.
09-02 09:01:11.309  3979  4672 D ActivityManager: package  org.mozilla.firefox, user - 0 is SDcard whitelisted
09-02 09:01:11.309  3979  4672 I ApplicationPolicy: isApplicationExternalStorageBlacklisted:org.mozilla.firefox user:0
09-02 09:01:11.309  3979  4672 D ApplicationPolicy: isApplicationExternalStorageBlacklisted: DO is not enabled on user 0. Allowed.
09-02 09:01:11.319  2033  2033 E Zygote  : isWhitelistProcess - Process is Whitelisted
09-02 09:01:11.320  3979  4672 I ActivityManager: Start proc 2033:org.mozilla.firefox/u0a154 for activity org.mozilla.firefox/org.mozilla.gecko.BrowserApp
09-02 09:01:11.320  2033  2033 E libpersona: scanKnoxPersonas
09-02 09:01:11.320  2033  2033 E libpersona: Couldn't open the File - /data/system/users/0/personalist.xml - No such file or directory
09-02 09:01:11.321  2033  2033 W SELinux : SELinux selinux_android_compute_policy_index : Policy Index[2],  Con:u:r:zygote:s0 RAM:SEPF_SM-J720F_8.0.0_0017, [-1 -1 -1 -1 0 1]
09-02 09:01:11.322  2033  2033 I SELinux : SELinux: seapp_context_lookup: seinfo=untrusted, level=s0:c512,c768, pkgname=org.mozilla.firefox 
09-02 09:01:11.338  2033  2033 D TimaKeyStoreProvider: TimaKeyStore is not enabled: cannot add TimaSignature Service and generateKeyPair Service
09-02 09:01:11.338  2033  2033 D ActivityThread: Added TimaKeyStore provider
09-02 09:01:11.340  3979  4672 I ActivityManager: DSS on for org.mozilla.firefox and scale is 1.0
09-02 09:01:11.346  3979  4672 D PersonaManagerService: Current focused persona service handled id set to : 0
09-02 09:01:11.347  3979  4672 D InputDispatcher: Focused application set to: xxxx
09-02 09:01:11.347  3979  4672 D InputDispatcher: Focus left window: 1994
09-02 09:01:11.349  1994  1994 D ViewRootImpl@110cd72[MainActivity]: MSG_WINDOW_FOCUS_CHANGED 0
09-02 09:01:11.349  3979  4238 D GameManagerService: handleForegroundChange(). pkgName: org.mozilla.firefox, clsName: org.mozilla.fenix.IntentReceiverActivity,FgActivityName:org.mozilla.firefox/org.mozilla.fenix.IntentReceiverActivity
09-02 09:01:11.349  3979  4672 D MARsPolicyManager: onPackageResumedFG pkgName = org.mozilla.firefox, userId = 0
09-02 09:01:11.349  3979  4238 D GameManagerService: sem_perfomance_mode: 3
09-02 09:01:11.349  3979  4238 D GameManagerService: notifyResumePause(). pkg: org.mozilla.firefox, type: 4, isMinimized: false, isTunableApp: false
09-02 09:01:11.349  3979  4238 D GameManagerService:   notifyResumePause(). unexpected mPrevNotiType: -1
09-02 09:01:11.353  3979  6899 D GamePkgDataHelper: getGamePkgDataIncServer(). org.mozilla.firefox
09-02 09:01:11.353  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 09:01:11.353  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 09:01:11.354  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 09:01:11.354  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 09:01:11.354  3979  6899 D GamePkgDataHelper: getSosPolicy(). org.mozilla.firefox
09-02 09:01:11.356  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 09:01:11.356  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 09:01:11.357  3979  6899 D GameManagerService: identifyGamePackage. org.mozilla.firefox
09-02 09:01:11.357  3979  6899 D GamePkgDataHelper: getGamePkgData(). org.mozilla.firefox
09-02 09:01:11.363  2033  2033 I zygote64: no shared libraies, dex_files: 1
09-02 09:01:11.396  2033  2033 I FirebaseApp: Device unlocked: initializing all Firebase APIs for app [DEFAULT]
09-02 09:01:11.413  2033  2033 I FirebaseInitProvider: FirebaseApp initialization successful
