--------- beginning of main
09-02 18:45:46.590 14031 14031 E adbd    : recv: OPEN 000264e7 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 18:45:46.590 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
09-02 18:45:46.654  7881  8242 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:46.656  7881  8242 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:46.656  7881  8242 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:46.657  7881  8242 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:46.657  7881  8242 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:46.657  7881  8242 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:46.657  7881  8242 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
--------- beginning of system
09-02 18:45:46.659  3979  5977 I ActivityManager: Force stopping org.mozilla.firefox appid=10154 user=0: from pid 7946
09-02 18:45:46.663  7881  8242 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:46.663  7881  8242 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:46.664  3979  3979 D SamsungAlarmManager: Remove alarm for next reason : android.intent.action.PACKAGE_RESTARTED : package: org.mozilla.firefox
09-02 18:45:46.671  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:org.mozilla.firefox flg=0x10 (has extras) } to android/com.kddi.android.CpaNotiReceiver
09-02 18:45:46.671  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:org.mozilla.firefox flg=0x10 (has extras) } to com.sec.android.daemonapp/com.samsung.android.weather.daemon.receiver.ClearDataReceiver
09-02 18:45:46.671  4633  4633 D CarrierSvcBindHelper: No carrier app for: 0
09-02 18:45:46.672  4633  4633 D CarrierSvcBindHelper: No carrier app for: 1
09-02 18:45:46.698  7881  4231 E fb4a.msys: E[N MQTT]readEOF(124)=>TCPStreamTransport readEOF
09-02 18:45:46.698  7881  4231 E fb4a.msys: E[N MQTT]onEOF(699)=>LigerBasedStreamTransport onEOF
09-02 18:45:46.699  7881  7871 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6308, error = 2003
09-02 18:45:46.699  7881  7871 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6307, error = 2003
09-02 18:45:46.700  7881  7871 E fb4a.FBMsysMqttClientCallbacks: onPublish, onFailure, msgId = 6306, error = 2003
09-02 18:45:46.701  3979  5965 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 18:45:46.703  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 18:45:46.703  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:30c8ba03-b5e8-4052-b028-50cfaddf586a, category:mcd-sync-data-task-category, requestId:4100, error:Error Domain=mqtt Code=2003 UserInfo=0xc81ec700 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:46.704  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 18:45:46.704  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 30c8ba03-b5e8-4052-b028-50cfaddf586a contains sync error Error Domain=mqtt Code=2003 UserInfo=0xc81ec700 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xc81ec700 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:46.704  7881  4225 E fb4a.msys: E[N rtchannel]_rt_mqtt_publish_callback(430)=>Failed to publish the request over MQTT (possible duplicate log). token:cf262aa7-0859-4e46-8a53-7f89a5f32c2e, category:mcd-sync-data-task-category, requestId:52239, error:Error Domain=mqtt Code=2003 UserInfo=0xba304100 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:46.715  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response cf262aa7-0859-4e46-8a53-7f89a5f32c2e contains sync error Error Domain=mqtt Code=2003 UserInfo=0xba304100 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003} - Underlying error (null): Error Domain=mqtt Code=2003 UserInfo=0xba304100 {MCFErrorDirectLocalizedFailureReasonKey=2003, MCFErrorDirectDescriptionKey=2003}
09-02 18:45:46.868  7881  7831 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:46.868  7881  7831 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:46.868  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task 1f97b18b-a199-4719-b2f9-11412ea4a156 (response type 1): (null)
09-02 18:45:46.869  7881  7831 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:46.869  7881  7831 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:46.869  7881  7831 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:46.869  7881  7831 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:46.869  7881  7831 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:46.870  7881  7831 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:46.870  7881  7831 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:46.873  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response 1f97b18b-a199-4719-b2f9-11412ea4a156 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc81ec000 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc81ec000 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:46.883  7881  7831 E fb4a.T157805820: TigonMhrLogger::logRequestIfNeeded
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonWifiInfoLogger::init
09-02 18:45:46.884  7881  4225 E fb4a.msys: E[N data-request]_HandleDataResponse(1782)=>Data request error for task ab17437c-ede7-42f5-8e6e-1f9a5db330e2 (response type 1): (null)
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonMhrFbcLogger::logRequestIfNeeded
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonCellTowerInfoLogger::logRequestIfNeeded
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonCertificateVerificationLogger::logRequestIfNeeded
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonTransientAnalysisLogger::logRequestIfNeeded
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonProviderConnectionDeviceInfoLogger::logRequestIfNeeded
09-02 18:45:46.884  7881  7831 E fb4a.T157805820: TigonCellTowerInfoPapayaLogger::logRequestIfNeeded
09-02 18:45:46.885  7881  7831 E fb4a.T157805820: NetworkUtilisationLogger::logRequestIfNeeded
09-02 18:45:46.886  7881  4229 E fb4a.msys: E[S sync]_createResponseError(195)=>Network Response ab17437c-ede7-42f5-8e6e-1f9a5db330e2 contains sync error Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fb00 {MCFErrorDirectLocalizedDescriptionKey=Client error} - Underlying error (null): Error Domain=com.facebook.http.error Code=401 UserInfo=0xc7e8fb00 {MCFErrorDirectLocalizedDescriptionKey=Client error}
09-02 18:45:46.918  3979  5977 I ActivityManager: START u0 {act=android.intent.action.VIEW typ=null flg=0x10008000 cmp=ComponentInfo{org.mozilla.firefox/org.mozilla.gecko.BrowserApp}} from uid 2000
09-02 18:45:46.919  3979  5977 D CustomFrequencyManagerService: acquireDVFSLockLocked : type : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  pkgName : AMS_APP_SWITCH@CPU_MIN@23
09-02 18:45:46.922  3979  5977 D ActivityManagerPerformance: AMP_acquire() APP_SWITCH
09-02 18:45:46.922  3979  5035 D ActivityManagerPerformance: Received MSG_CFMS_HINT_AMS_SWITCH pkgName: org.mozilla.firefox
09-02 18:45:46.932  3979  5965 D ActivityManager: isScaleDownAnimationEnabled() : false
09-02 18:45:46.932  3979  5965 D StorageManagerService: getExternalStorageMountMode : 1
09-02 18:45:46.932  3979  5965 D StorageManagerService: getExternalStorageMountMode : 3
09-02 18:45:46.933  3979  5965 D StorageManagerService: getExternalStorageMountMode : final mountMode=1, uid : 10154, packageName : org.mozilla.firefox
09-02 18:45:46.933  3979  5965 I ApplicationPolicy: isApplicationExternalStorageWhitelisted:org.mozilla.firefox user:0
09-02 18:45:46.933  3979  5965 D ApplicationPolicy: isApplicationExternalStorageWhitelisted: DO is not enabled on user 0. Allowed.
