--------- beginning of main
09-02 17:34:59.177 14031 14031 E adbd    : recv: OPEN 00024a7d 00000000 0095:73 68 65 6C 6C 2C 76 32 2C 54 45 52 4D 3D 78 74 65 72 6D 2D 32 35 36 63 6F 6C 6F 72 2C 72 61 77 3A 61 6D 20 73 74 61 72 74 20 2D 53 20 2D 61 20 61 6E 64 72 6F 69 64 2E 69 6E 74 65 6E 74 2E 61 63 74 69 6F 6E 2E 56 49 45 57 20 2D 6E 20 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 66 69 72 65 66 6F 78 2F 6F 72 67 2E 6D 6F 7A 69 6C 6C 61 2E 67 65 63 6B 6F 2E 42 72 6F 77 73 65 72 41 70 70 20 2D 2D 61 63 74 69 76 69 74 79 2D 63 6C 65 61 72 2D 74 61 73 6B 00 
09-02 17:34:59.177 14031 14031 E adbd    : service_to_fd: shell,v2,TERM=xterm-256color,raw:am start -S -a android.intent.action.VIEW -n org.mozilla.firefox/org.mozilla.gecko.BrowserApp --activity-clear-task
--------- beginning of system
09-02 17:34:59.247  3979 14776 I ActivityManager: Force stopping org.mozilla.firefox appid=10154 user=0: from pid 9737
09-02 17:34:59.252  3979  3979 D SamsungAlarmManager: Remove alarm for next reason : android.intent.action.PACKAGE_RESTARTED : package: org.mozilla.firefox
09-02 17:34:59.258  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:org.mozilla.firefox flg=0x10 (has extras) } to android/com.kddi.android.CpaNotiReceiver
09-02 17:34:59.258  4633  4633 D CarrierSvcBindHelper: No carrier app for: 0
09-02 17:34:59.258  3979  3995 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_RESTARTED dat=package:org.mozilla.firefox flg=0x10 (has extras) } to com.sec.android.daemonapp/com.samsung.android.weather.daemon.receiver.ClearDataReceiver
09-02 17:34:59.260  4633  4633 D CarrierSvcBindHelper: No carrier app for: 1
09-02 17:34:59.374  3979  5965 D ConnectivityService: filterNetworkStateForUid() uid: 10102 networkInfo: [type: WIFI[] - WIFI, state: CONNECTED/CONNECTED, reason: (unspecified), extra: "WiFi 69", failover: false, available: true, roaming: false, metered: false]
09-02 17:34:59.380  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 17:34:59.383  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 17:34:59.388  3614  3927 D DnsProxyListener: DNSDBG::dns addrinfo af 2
09-02 17:34:59.514  3979 14776 I ActivityManager: START u0 {act=android.intent.action.VIEW typ=null flg=0x10008000 cmp=ComponentInfo{org.mozilla.firefox/org.mozilla.gecko.BrowserApp}} from uid 2000
09-02 17:34:59.518  3979 14776 D CustomFrequencyManagerService: acquireDVFSLockLocked : type : DVFS_MIN_LIMIT  frequency : 1560000  uid : 1000  pid : 3979  pkgName : AMS_APP_SWITCH@CPU_MIN@23
09-02 17:34:59.523  3979 14776 D ActivityManagerPerformance: AMP_acquire() APP_SWITCH
09-02 17:34:59.523  3979  5035 D ActivityManagerPerformance: Received MSG_CFMS_HINT_AMS_SWITCH pkgName: org.mozilla.firefox
09-02 17:34:59.524  7881  7881 W fb4a.MobileConfigFactoryImpl: SESSIONLESS factory used for 2 param
09-02 17:34:59.526  7881  7881 E fb4a.Execution: Redirecting MSYS Execution scheduling from the UI thread to a custom executor
09-02 17:34:59.526  7881  8776 D omnistore_android_logger: DebouncingRateLimiter attempting event SyncProtocol::onConnectionEstablished
