"","subject","prefix","browser","e","cu","me","lt"
"1","http-192-168-88-177-8000-commerce-bestbuy-www-bestbuy-com",0,"chrome",0.353583822,11.0989576,3929807.614,32
"2","http-192-168-88-177-8000-commerce-bestbuy-www-bestbuy-com",0,"firefox",0.303873293,11.08997255,3927184.644,24
"3","http-192-168-88-177-8000-commerce-bestbuy-www-bestbuy-com",0,"opera",0.629584716,11.06973724,3927598.233,13
"4","http-192-168-88-177-8000-commerce-jimdo-www-jimdo-com",0,"chrome",0.39167774,11.10487446,3928431.674,10
"5","http-192-168-88-177-8000-commerce-jimdo-www-jimdo-com",0,"firefox",0.286279589,11.07957036,3926903.305,24
"6","http-192-168-88-177-8000-commerce-jimdo-www-jimdo-com",0,"opera",0.337306299,11.02420133,3928837.199,9
"7","http-192-168-88-177-8000-commerce-shopify-www-shopify-com-ppc-ecommerce-html",0,"chrome",0.23788632,11.00825389,3931230.423,74
"8","http-192-168-88-177-8000-commerce-shopify-www-shopify-com-ppc-ecommerce-html",0,"firefox",0.234398119,10.98832237,3929640.458,27
"9","http-192-168-88-177-8000-commerce-shopify-www-shopify-com-ppc-ecommerce-html",0,"opera",0.345242168,10.9640087,3930116.596,9
"10","http-192-168-88-177-8000-commerce-target-www-target-com",0,"chrome",0.475095633,10.95067495,3930985.881,127
"11","http-192-168-88-177-8000-commerce-target-www-target-com",0,"firefox",0.323037902,10.9443866,3929472.183,40
"12","http-192-168-88-177-8000-commerce-target-www-target-com",0,"opera",0.459951003,10.89406248,3929913.757,14
"13","http-192-168-88-177-8000-commerce-woocommerce-woocommerce-com",0,"chrome",0.25632183,10.88712872,3931009.188,272
"14","http-192-168-88-177-8000-commerce-woocommerce-woocommerce-com",0,"firefox",0.223097409,10.86213979,3928871.967,37
"15","http-192-168-88-177-8000-commerce-woocommerce-woocommerce-com",0,"opera",0.276907351,10.81594422,3929655.021,16
"16","http-192-168-88-177-8000-consumer-evri-www-evri-com",0,"chrome",0.249039586,11.92758512,3938879.726,37
"17","http-192-168-88-177-8000-consumer-evri-www-evri-com",0,"firefox",0.239745997,11.82090646,3937137.535,43
"18","http-192-168-88-177-8000-consumer-evri-www-evri-com",0,"opera",0.302213346,11.72615456,3937539.751,10
"19","http-192-168-88-177-8000-consumer-foursquare-foursquare-com",0,"chrome",0.38087901,11.66503466,3937329.666,61
"20","http-192-168-88-177-8000-consumer-foursquare-foursquare-com",0,"firefox",0.200127524,11.59000676,3931886.058,40
